,country,item,year,production,area,yield,category,continent
1,Afghanistan,"Almonds, in shell",2020,39307.0,22134.0,1776.0,Nuts,Asia
5,Afghanistan,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2019,17808.0,25293.0,704.0,Spices,Asia
6,Afghanistan,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2020,17966.0,25558.0,703.0,Spices,Asia
7,Afghanistan,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2021,17876.0,25357.0,705.0,Spices,Asia
8,Afghanistan,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2022,17883.0,25403.0,704.0,Spices,Asia
9,Afghanistan,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2023,17909.0,25439.0,704.0,Spices,Asia
11,Afghanistan,Apples,2020,270857.0,25643.0,10563.0,Fruits,Asia
15,Afghanistan,Apricots,2019,129363.0,17719.0,7301.0,Fruits,Asia
16,Afghanistan,Apricots,2020,131788.0,17481.0,7539.0,Fruits,Asia
17,Afghanistan,Apricots,2021,207490.0,27082.0,7662.0,Fruits,Asia
18,Afghanistan,Apricots,2022,170508.0,26731.0,6379.0,Fruits,Asia
19,Afghanistan,Apricots,2023,155429.0,22008.0,7062.0,Fruits,Asia
30,Afghanistan,Figs,2019,24319.0,3529.0,6891.0,Fruits,Asia
31,Afghanistan,Figs,2020,15994.0,3219.0,4969.0,Fruits,Asia
32,Afghanistan,Figs,2021,59756.0,10077.0,5930.0,Fruits,Asia
33,Afghanistan,Figs,2022,58036.0,9787.0,5930.0,Fruits,Asia
34,Afghanistan,Figs,2023,60651.0,10228.0,5930.0,Fruits,Asia
50,Afghanistan,Millet,2019,2714.0,1401.0,1937.0,Cereals,Asia
51,Afghanistan,Millet,2020,1895.0,1437.0,1319.0,Cereals,Asia
52,Afghanistan,Millet,2021,1550.0,979.0,1583.0,Cereals,Asia
53,Afghanistan,Millet,2022,1913.0,1213.0,1577.0,Cereals,Asia
54,Afghanistan,Millet,2023,1824.0,1142.0,1598.0,Cereals,Asia
55,Afghanistan,Mustard seed,2019,1700.0,1691.0,1005.0,Seeds,Asia
56,Afghanistan,Mustard seed,2020,1298.0,1457.0,891.0,Seeds,Asia
57,Afghanistan,Mustard seed,2021,1139.0,1074.0,1060.0,Seeds,Asia
58,Afghanistan,Mustard seed,2022,1475.0,1206.0,1223.0,Seeds,Asia
59,Afghanistan,Mustard seed,2023,1000.0,1000.0,1000.0,Seeds,Asia
60,Afghanistan,Olives,2019,7927.0,2206.0,3594.0,Fruits,Asia
61,Afghanistan,Olives,2020,8021.0,2208.0,3633.0,Fruits,Asia
62,Afghanistan,Olives,2021,7676.0,2207.0,3478.0,Fruits,Asia
63,Afghanistan,Olives,2022,7731.0,2207.0,3503.0,Fruits,Asia
64,Afghanistan,Olives,2023,7785.0,2207.0,3527.0,Fruits,Asia
65,Afghanistan,Onions,2019,352725.0,18343.0,19229.0,Vegetables,Asia
66,Afghanistan,Onions,2020,326006.0,19351.0,16847.0,Vegetables,Asia
70,Afghanistan,Oranges,2019,6006.0,973.0,6173.0,Fruits,Asia
71,Afghanistan,Oranges,2020,3001.0,415.0,7231.0,Fruits,Asia
72,Afghanistan,Oranges,2021,11972.0,1782.0,6718.0,Fruits,Asia
73,Afghanistan,Oranges,2022,10611.0,1825.0,5814.0,Fruits,Asia
74,Afghanistan,Oranges,2023,7385.0,1242.0,5947.0,Fruits,Asia
75,Afghanistan,Other berries and fruits of the genus vaccinium n.e.c.,2019,29384.0,6117.0,4804.0,Fruits,Asia
76,Afghanistan,Other berries and fruits of the genus vaccinium n.e.c.,2020,27772.0,6396.0,4342.0,Fruits,Asia
77,Afghanistan,Other berries and fruits of the genus vaccinium n.e.c.,2021,33561.0,8376.0,4007.0,Fruits,Asia
78,Afghanistan,Other berries and fruits of the genus vaccinium n.e.c.,2022,32884.0,8021.0,4100.0,Fruits,Asia
79,Afghanistan,Other berries and fruits of the genus vaccinium n.e.c.,2023,33195.0,8715.0,3809.0,Fruits,Asia
80,Afghanistan,"Other citrus fruit, n.e.c.",2019,30759.0,3391.0,9071.0,Fruits,Asia
81,Afghanistan,"Other citrus fruit, n.e.c.",2020,3775.0,449.0,8408.0,Fruits,Asia
82,Afghanistan,"Other citrus fruit, n.e.c.",2021,24753.0,2965.0,8348.0,Fruits,Asia
83,Afghanistan,"Other citrus fruit, n.e.c.",2022,21972.0,2402.0,9148.0,Fruits,Asia
84,Afghanistan,"Other citrus fruit, n.e.c.",2023,18961.0,2116.0,8961.0,Fruits,Asia
85,Afghanistan,"Other fruits, n.e.c.",2019,61922.0,8503.0,7283.0,Fruits,Asia
86,Afghanistan,"Other fruits, n.e.c.",2020,62117.0,8259.0,7521.0,Fruits,Asia
87,Afghanistan,"Other fruits, n.e.c.",2021,61892.0,8337.0,7424.0,Fruits,Asia
